Epoch/Iter:0/142, Real loss: [0.6183306],fake loss: [2.2679653],c loss: [6.930738], generator_loss: [5.5696435],reconstruction_loss: [0.03064941],KL_loss: [1.0470004]:
Epoch/Iter:1/142, Real loss: [1.5911152],fake loss: [2.7013254],c loss: [0.23484401], generator_loss: [4.0623536],reconstruction_loss: [0.05329148],KL_loss: [0.8484841]:
Epoch/Iter:2/142, Real loss: [2.0018942],fake loss: [1.4310001],c loss: [0.05582161], generator_loss: [2.3777618],reconstruction_loss: [0.04791112],KL_loss: [2.8677819]:
Epoch/Iter:3/142, Real loss: [1.0462548],fake loss: [1.3732765],c loss: [0.06730128], generator_loss: [1.6717393],reconstruction_loss: [0.03853185],KL_loss: [3.5052378]:
Epoch/Iter:4/142, Real loss: [0.54082984],fake loss: [0.8787345],c loss: [0.27753457], generator_loss: [2.0626426],reconstruction_loss: [0.05206904],KL_loss: [3.7983499]:
Epoch/Iter:5/142, Real loss: [0.7880301],fake loss: [0.7666049],c loss: [0.12015227], generator_loss: [1.0224698],reconstruction_loss: [0.03006004],KL_loss: [5.0716743]:
Epoch/Iter:6/142, Real loss: [0.6966498],fake loss: [0.7952176],c loss: [0.01472883], generator_loss: [1.0606325],reconstruction_loss: [0.02777426],KL_loss: [3.4740758]:
Epoch/Iter:7/142, Real loss: [4.664483],fake loss: [0.0131579],c loss: [2.5049748], generator_loss: [0.21495281],reconstruction_loss: [0.07661624],KL_loss: [2.1056252]:
Epoch/Iter:8/142, Real loss: [0.7050699],fake loss: [0.7236802],c loss: [0.01217766], generator_loss: [1.3746741],reconstruction_loss: [0.03194238],KL_loss: [1.1525669]:
Epoch/Iter:9/142, Real loss: [0.7260389],fake loss: [0.6707004],c loss: [0.00653081], generator_loss: [1.1060258],reconstruction_loss: [0.02990592],KL_loss: [2.0338202]:
Epoch/Iter:10/142, Real loss: [0.7627956],fake loss: [0.6444997],c loss: [0.01501651], generator_loss: [1.075266],reconstruction_loss: [0.02937533],KL_loss: [0.5359236]:
Epoch/Iter:11/142, Real loss: [0.70552516],fake loss: [0.6753009],c loss: [0.0146421], generator_loss: [1.156592],reconstruction_loss: [0.03042412],KL_loss: [0.23900372]:
Epoch/Iter:12/142, Real loss: [0.67206895],fake loss: [0.7136002],c loss: [0.01135786], generator_loss: [1.153924],reconstruction_loss: [0.03011836],KL_loss: [3.609224]:
Epoch/Iter:13/142, Real loss: [0.73907125],fake loss: [0.6337236],c loss: [0.02539267], generator_loss: [0.95355904],reconstruction_loss: [0.03124382],KL_loss: [5.06213]:
Epoch/Iter:14/142, Real loss: [0.36080605],fake loss: [0.9443729],c loss: [0.5609993], generator_loss: [1.8325137],reconstruction_loss: [0.0484751],KL_loss: [1.2619021]:
Epoch/Iter:15/142, Real loss: [0.5680175],fake loss: [0.7843779],c loss: [0.01002584], generator_loss: [1.6476836],reconstruction_loss: [0.03259758],KL_loss: [0.8889523]:
Epoch/Iter:16/142, Real loss: [0.90814227],fake loss: [0.5566114],c loss: [0.1161494], generator_loss: [1.3388335],reconstruction_loss: [0.02940786],KL_loss: [0.5113919]:
Epoch/Iter:17/142, Real loss: [0.75155824],fake loss: [0.81173813],c loss: [0.02321731], generator_loss: [2.0062573],reconstruction_loss: [0.0333875],KL_loss: [0.8362511]:
Epoch/Iter:18/142, Real loss: [0.64016527],fake loss: [0.9143069],c loss: [0.05637042], generator_loss: [2.4576623],reconstruction_loss: [0.0341562],KL_loss: [2.064031]:
Epoch/Iter:19/142, Real loss: [0.7936774],fake loss: [0.725408],c loss: [0.01452618], generator_loss: [2.2884405],reconstruction_loss: [0.03913348],KL_loss: [0.36657387]:
